batch_size,width_NODE,status,test_rmse,train_time
2,64,success,0.007720529756039033,341.24375319480896
2,64,success,0.011483208799350386,178.06548428535461
2,64,success,0.008572947200686456,253.93850946426392
2,256,success,0.0065112717782624206,661.8544731140137
2,256,success,0.011106602679430005,125.01317811012268
2,256,success,0.008633673899947713,231.0082802772522
4,64,success,0.008614358140723985,144.27427291870117
4,64,success,0.011302542088161213,157.3419885635376
4,64,success,0.008368863247012994,364.15669989585876
8,256,success,0.006815800619908345,346.53514552116394
8,256,success,0.011036595781881075,142.901540517807
8,256,success,0.007914378172003021,190.0727789402008
8,192,success,0.006377304822356927,388.10880279541016
8,192,success,0.011214901164551719,118.26562023162842
8,192,success,0.008078233244766034,163.58824944496155
1,64,success,0.009600495695537255,192.63697338104248
1,64,success,0.01175903885577921,215.57068467140198
1,64,success,0.00939334257296177,210.66874313354492
4,256,success,0.006698973111769739,330.21725034713745
4,256,success,0.010929783732267405,142.46379280090332
4,256,success,0.007809817754937688,223.54657340049744
1,512,success,0.006624307721881609,379.7391173839569
1,512,success,0.011449228480747111,144.70106720924377
1,512,success,0.008884544019685619,138.98450350761414
2,192,success,0.006935901462174102,285.39190554618835
2,192,success,0.011187287772742563,171.9979600906372
2,192,success,0.008397643590307752,207.99221277236938
4,192,success,0.0063037893197147995,495.055725812912
4,192,success,0.011366934493709556,115.13521933555603
4,192,success,0.008360037445975,239.39743185043335
1,256,success,0.009514089591254857,155.39723753929138
1,256,success,0.011113816219889534,148.95462369918823
1,256,success,0.009446170951775778,157.96528148651123
1,128,success,0.009341591778994164,141.2217242717743
1,128,success,0.011378901487147871,215.04167914390564
1,128,success,0.010162491737265848,133.9464626312256
1,192,success,0.009690447974648004,101.42825317382812
1,192,success,0.01156205769974496,201.5981481075287
1,192,success,0.00886840683786525,274.62088799476624
2,512,success,0.006463002467566689,417.4695568084717
2,512,success,0.011379820530493348,131.2353916168213
2,512,success,0.007687758443809521,260.3643264770508
8,512,success,0.006872589006225992,317.79170393943787
8,512,success,0.011519252684544562,121.85751032829285
8,512,success,0.008014580901685974,200.77924036979675
8,128,success,0.006644356621681718,332.3010914325714
8,128,success,0.011396865418147885,131.61048197746277
8,128,success,0.008136539280386152,179.24668502807617
8,64,success,0.006998718450510591,265.7144978046417
8,64,success,0.011168677607199355,151.70815443992615
8,64,success,0.008186341541104003,218.78619742393494
4,128,success,0.006497135789644797,413.907164812088
4,128,success,0.011258252387952174,119.9567289352417
4,128,success,0.00840464249146367,302.44949293136597
4,512,success,0.006556467555138347,408.9707884788513
4,512,success,0.011586412293903402,167.3677830696106
4,512,success,0.007625275733352444,284.98949098587036
2,128,success,0.00911892408192506,124.20007300376892
2,128,success,0.01148155092710252,139.11354875564575
2,128,success,0.008693817792972139,203.14815092086792
