batch_size,width_NODE,test_rmse,train_time,success_rate
1,64,0.01025095904142608,206.29213372866312,1.0
1,128,0.010294328334469294,163.40328868230185,1.0
1,192,0.010040304170752738,192.54909642537436,1.0
1,256,0.010024692254306723,154.1057142416636,1.0
1,512,0.008986026740771447,221.1415627002716,1.0
2,64,0.009258895252025293,257.74924898147583,1.0
2,128,0.00976476426733324,155.4872575600942,1.0
2,192,0.008840277608408139,221.79402613639832,1.0
2,256,0.00875051611921338,339.2919771671295,1.0
2,512,0.00851019381395652,269.68975830078125,1.0
4,64,0.009428587825299399,221.92432045936584,1.0
4,128,0.008720010223020214,278.77112889289856,1.0
4,192,0.008676920419799785,283.1961256663005,1.0
4,256,0.008479524866324945,232.07587218284607,1.0
4,512,0.008589385194131398,287.1093541781108,1.0
8,64,0.008784579199604651,212.0696165561676,1.0
8,128,0.008725920440071918,214.38608614603677,1.0
8,192,0.008556813077224893,223.32089082400003,1.0
8,256,0.008588924857930813,226.50315499305725,1.0
8,512,0.008802140864152175,213.4761515458425,1.0
