batch_size,width_NODE,test_rmse,train_time,success_rate
8,64,0.006545174116786299,581.891196012497,1.0
8,128,0.005899420452780954,534.9745483398438,1.0
8,192,0.005650870352131081,434.63984568913776,1.0
8,256,0.0057619675433772805,378.96118148167926,1.0
8,512,0.005544917779887383,575.3593555291494,1.0
16,64,0.00576070947657454,690.6299552122751,1.0
16,128,0.005538433988396437,475.6243401368459,1.0
16,192,0.005483467535807237,542.9189600944519,1.0
16,256,0.005465206521093925,517.4323608080546,1.0
16,512,0.005502900817323336,545.9314186573029,1.0
32,64,0.005574609352491859,567.5530341466268,1.0
32,128,0.005407658463224008,568.5255772272745,1.0
32,192,0.0053982704267041435,723.4575319290161,1.0
32,256,0.005390709188631586,992.9232029914856,1.0
32,512,0.005286910401860773,1474.5241096814473,1.0
64,64,0.0055403910254175695,812.3320976098379,1.0
64,128,0.005388049447004093,1179.8550590674083,1.0
64,192,0.005375698421306936,830.5529468854269,1.0
64,256,0.0053575209798380026,1389.5496980349224,1.0
64,512,0.00536507342818426,1385.0489699045818,1.0
128,64,0.005402111351907646,892.5860956509908,1.0
128,128,0.0052943160878218655,1100.1034733454387,1.0
128,192,0.005298344055891846,1435.6117757956188,1.0
128,256,0.005289047005781519,1828.4968999226887,1.0
128,512,0.005033290080427199,3662.905833641688,1.0
200,64,0.005295484697938083,1282.252824862798,1.0
200,128,0.00520791474673132,1299.5096027056377,1.0
200,192,0.005271211912040952,2147.7474745114646,1.0
200,256,0.005053613235818733,3725.6081782976785,1.0
200,512,0.005060656680227925,6122.217752138774,1.0
