batch_size,width_NODE,status,test_rmse,train_time
8,64,success,0.008027738438302469,212.63046550750732
8,64,success,0.006929685306515842,506.82353115081787
8,64,success,0.00679216511735625,315.50462555885315
8,256,success,0.005539933503427077,515.186243057251
8,256,success,0.006304346719180105,363.8804738521576
8,256,success,0.0064965806482057175,347.3592505455017
16,64,success,0.007938861002279104,223.46732640266418
16,64,success,0.0066353021184584705,557.9526922702789
16,64,success,0.006742476042226176,457.84535789489746
24,256,success,0.005510668397649427,389.8505325317383
24,256,success,0.006233435660620545,554.8254878520966
24,256,success,0.006316852561210435,399.91903042793274
24,192,success,0.005487359888400302,473.29785537719727
24,192,success,0.0062086252358089485,369.2654767036438
24,192,success,0.006140460610075217,519.3885946273804
4,64,success,0.008677469405706963,225.0383939743042
4,64,success,0.007687060407353056,527.5972282886505
4,64,success,0.006968251236674151,418.6801652908325
16,256,success,0.005569256314348714,397.34484100341797
16,256,success,0.006441418133194806,414.58825755119324
16,256,success,0.0063973936507752665,291.93755292892456
4,512,success,0.005528931973251304,333.3456938266754
4,512,success,0.006580466900176962,386.08103823661804
4,512,success,0.006463268662347635,355.8848123550415
8,192,success,0.005612316936003761,484.3899269104004
8,192,success,0.006356968407573129,382.7451493740082
8,192,success,0.006651378129434505,261.33059883117676
16,192,success,0.0056187991956544725,395.49644017219543
16,192,success,0.006370035619885373,498.41208481788635
16,192,success,0.0063328995626234915,361.6834089756012
4,256,success,0.005937772130211003,429.0054726600647
4,256,success,0.006371655187360929,506.03435230255127
4,256,success,0.006620552094537961,368.14509177207947
4,128,success,0.008255806576231806,250.53260159492493
4,128,success,0.006654344790816402,455.84466576576233
4,128,success,0.006654157385962582,320.18614172935486
4,192,success,0.00817055410177792,197.79889559745789
4,192,success,0.006897353677445792,419.4881155490875
4,192,success,0.006468168564736088,492.78344225883484
8,512,success,0.005519236875483768,348.91546511650085
8,512,success,0.006233941282959259,391.2163050174713
8,512,success,0.006329453520173948,387.943480014801
24,512,success,0.005302752483123609,970.8231289386749
24,512,success,0.005092343049759685,1114.7809314727783
24,512,success,0.006422558937699051,405.748841047287
24,128,success,0.005639198450104152,328.89487743377686
24,128,success,0.006262481931645913,419.12626576423645
24,128,success,0.006173277035729617,486.59218645095825
24,64,success,0.005723895718752752,422.37806582450867
24,64,success,0.0063058614844321344,309.45197916030884
24,64,success,0.006411726540644872,321.5531368255615
16,128,success,0.005764859758073153,372.95113825798035
16,128,success,0.006553895704565469,339.0716495513916
16,128,success,0.00646753775347061,392.44320726394653
16,512,success,0.00561190211521455,528.5337860584259
16,512,success,0.006296548551756813,472.93503761291504
16,512,success,0.006393848820181097,448.77629041671753
8,128,success,0.00582960765474528,393.69730591773987
8,128,success,0.006398645794036973,429.4661068916321
8,128,success,0.006482370509967402,304.4112513065338
