batch_size,width_NODE,test_rmse,train_time,success_rate
4,64,0.006682180503172414,538.4105212688446,1.0
4,128,0.005874581268208636,518.9111749331156,1.0
4,192,0.005931631363423363,471.7029541333516,1.0
4,256,0.005895809905481444,370.84136565526325,1.0
4,512,0.00558338439391342,342.95335364341736,1.0
8,64,0.0059611067126458805,429.2160587310791,1.0
8,128,0.005544865122266329,398.5609458287557,1.0
8,192,0.005499510178417586,438.3543170293172,1.0
8,256,0.005374841254877712,395.6203776995341,1.0
8,512,0.005375340247640539,422.7619009812673,1.0
16,64,0.005558553904642213,580.9097295602163,1.0
16,128,0.005638439128304207,395.56942494710285,1.0
16,192,0.005379245235532448,394.5495147705078,1.0
16,256,0.005281941742602041,491.14140756924945,1.0
16,512,0.005314072089195161,475.6469343503316,1.0
32,64,0.00532093818331239,476.08561674753827,1.0
32,128,0.005267726291774317,423.9847027460734,1.0
32,192,0.005196878437129762,489.9034005800883,1.0
32,256,0.00518677906442628,536.1950925191244,1.0
32,512,0.005009974479579855,1111.6803919474285,1.0
50,64,0.0051534783851422405,456.3343448638916,1.0
50,128,0.005096169809384616,497.15296149253845,1.0
50,192,0.0051337391885308515,733.3608769575754,1.0
50,256,0.005110234711341668,694.5794934431711,1.0
50,512,0.00525088155030367,1040.8506843249004,1.0
