batch_size,width_NODE,status,test_rmse,train_time
32,64,success,0.005583655133615229,646.4896328449249
32,64,success,0.005417352697664843,456.09367179870605
32,64,success,0.005585023667417015,538.1623845100403
192,64,success,0.005445422422205388,949.5020668506622
192,64,success,0.0050572681377801885,1207.614910364151
192,64,success,0.0053262032906131185,1025.2185842990875
300,512,success,0.004224399597271599,10803.087896585464
300,512,success,0.004446265649332254,10802.196741819382
300,512,success,0.0043852426209866485,10802.936978340149
16,128,success,0.005457255268725945,462.88588643074036
16,128,success,0.005276996992731634,594.8129389286041
16,128,success,0.005474561389744467,721.6147208213806
128,128,success,0.005395489533268878,1220.9819004535675
128,128,success,0.0049740131728982315,1824.0877707004547
128,128,success,0.005333208064893859,1518.8119122982025
128,64,success,0.005541328713263479,1034.1370899677277
128,64,success,0.005152038190488552,829.9447526931763
128,64,success,0.005468871573911472,846.8500852584839
64,64,success,0.005411286283943161,703.5264887809753
64,64,success,0.005177698801485109,742.3655915260315
64,64,success,0.005391287750089308,745.4424300193787
16,64,success,0.005946365488532915,490.53378415107727
16,64,success,0.005435992286383076,534.097282409668
16,64,success,0.005627755160000367,889.8334929943085
192,192,success,0.005364331500330689,2234.0025079250336
192,192,success,0.005013821511696248,5233.588537931442
192,192,success,0.0052005481732657335,2245.2407450675964
256,256,success,0.005298781956097217,4899.896800518036
256,256,success,0.005113346630543246,4874.883089065552
256,256,success,0.005310481205429179,2214.333230495453
192,128,success,0.005358776219314391,1174.149958372116
192,128,success,0.005102638509495684,1623.007435798645
192,128,success,0.005321082077590954,1868.7727155685425
128,256,success,0.005399030370180671,1698.6472001075745
128,256,success,0.00470227479725441,3551.5069267749786
128,256,success,0.005450101503662436,4319.903528928757
32,128,success,0.005429388158289695,602.699606180191
32,128,success,0.005188155551153812,807.4579224586487
32,128,success,0.005517248747694409,860.6939206123352
300,64,success,0.005246593588789589,2060.8316085338593
300,64,success,0.005086491146537928,2850.633880376816
300,64,success,0.005380797465671065,3979.9160344600677
300,256,success,0.004137830035454697,9245.79156589508
300,256,success,0.004649147424022554,10802.656555652618
300,256,success,0.005368109307960837,7605.1217045784
128,192,success,0.005380719989562094,1206.1769428253174
128,192,success,0.0050395886553392735,2802.4421949386597
128,192,success,0.0052789997606126965,1274.1477966308594
32,512,success,0.00535047744233292,1416.5583181381226
32,512,success,0.005227932634585966,1085.012211561203
32,512,success,0.005434745136731674,1277.3120453357697
32,192,success,0.005431393944691479,928.2424721717834
32,192,success,0.005208956139377621,908.9974687099457
32,192,success,0.005388920916430725,712.7102241516113
300,192,success,0.004338398361469736,10800.359634160995
300,192,success,0.0043340319390245815,10800.25401520729
300,192,success,0.005285495795214378,3407.8260753154755
32,256,success,0.0055546208762274705,517.1797544956207
32,256,success,0.005155480671050087,928.2037491798401
32,256,success,0.005415861298997664,685.1446416378021
64,256,success,0.005371455654159038,1608.8718979358673
64,256,success,0.005000842030576804,1356.792329788208
64,256,success,0.005396771518481288,1323.1219074726105
300,128,success,0.005324433760458629,1792.8997175693512
300,128,success,0.004405429465958618,4653.037281513214
300,128,success,0.005289325212965766,4171.836278676987
128,512,success,0.005396179778333053,3107.172427177429
128,512,success,0.0045220968375308855,10137.247035741806
128,512,success,0.005389956488818049,4759.603866100311
256,192,success,0.005346727611007738,3098.7119822502136
256,192,success,0.004866988774422408,4856.112691402435
256,192,success,0.005324522929729368,2470.067693710327
16,256,success,0.005509441591708324,518.4519929885864
16,256,success,0.005225844499282987,832.1117949485779
16,256,success,0.005489718049066343,699.8705012798309
64,128,success,0.005379062182581092,820.2781598567963
64,128,success,0.005213364603315717,1139.4777672290802
64,128,success,0.00535720366447704,1016.1756989955902
192,512,success,0.004208615203450521,10801.258815050125
192,512,success,0.004415376032927618,10800.82473897934
192,512,success,0.005360650918847806,3818.775496006012
16,192,success,0.005538115559746199,509.7787866592407
16,192,success,0.005241314693228827,696.0578904151917
16,192,success,0.0054865739020967036,826.2781484127045
64,512,success,0.005313631318914604,1395.3381698131561
64,512,success,0.004592136098663571,8780.523639678955
64,512,success,0.005429794126239825,4223.7820382118225
256,512,success,0.0052429769137521,7987.521130800247
256,512,success,0.00515128633934608,5250.660785913467
256,512,success,0.005345008582513272,6086.5699989795685
64,192,success,0.005311477449386696,1127.0579183101654
64,192,success,0.005164921663198635,1006.7643160820007
64,192,success,0.00535296715332296,1226.304033756256
256,128,success,0.005387530421279868,1304.694982290268
256,128,success,0.005133512898086563,2616.4223160743713
256,128,success,0.005377312879783092,3142.341730117798
192,256,success,0.005172390215583034,3651.056892633438
192,256,success,0.004458229869858343,9787.715390920639
192,256,success,0.0051998699309853185,4016.8277847766876
256,64,success,0.005477629700154937,1724.7032284736633
256,64,success,0.005167525073549896,1865.4196093082428
256,64,success,0.005415229348451774,1801.6668140888214
16,512,success,0.005358327373269806,865.6378757953644
16,512,success,0.005403515052015207,749.1612405776978
16,512,success,0.005380561010637029,914.6899545192719
