batch_size,width_NODE,test_rmse,train_time,success_rate
16,64,0.005670037644972119,638.1548531850179,1.0
16,128,0.005402937883734016,593.1045153935751,1.0
16,192,0.00542200138502391,677.3716084957123,1.0
16,256,0.005408334713352551,683.478096405665,1.0
16,512,0.005380801145307347,843.163023630778,1.0
32,64,0.005528677166232361,546.9152297178904,1.0
32,128,0.005378264152379305,756.950483083725,1.0
32,192,0.005343090333499942,849.9833883444468,1.0
32,256,0.005375320948758407,710.1760484377543,1.0
32,512,0.005337718404550187,1259.6275250116985,1.0
64,64,0.005326757611839193,730.4448367754618,1.0
64,128,0.00531654348345795,991.9772086938223,1.0
64,192,0.005276455421969431,1120.0420893828075,1.0
64,256,0.005256356401072377,1429.5953783988953,1.0
64,512,0.005111853847939334,4799.881282567978,1.0
128,64,0.005387412825887835,903.6439759731293,1.0
128,128,0.005234236923686989,1521.2938611507416,1.0
128,192,0.00523310280183802,1760.9223114649456,1.0
128,256,0.005183802223699172,3190.01921860377,1.0
128,512,0.005102744368227329,6001.3411096731825,1.0
192,64,0.005276297950199565,1060.7785205046337,1.0
192,128,0.005260832268800343,1555.310036579768,1.0
192,192,0.0051929003950975565,3237.610596974691,1.0
192,256,0.004943496672142232,5818.533356110255,1.0
192,512,0.004661547385075315,8473.61968334516,1.0
256,64,0.005353461374052203,1797.2632172902424,1.0
256,128,0.0052994520663831755,2354.486342827479,1.0
256,192,0.005179413105053172,3474.964122454325,1.0
256,256,0.005240869930689881,3996.3710400263467,1.0
256,512,0.005246423945203817,6441.583971897761,1.0
300,64,0.005237960733666194,2963.793841123581,1.0
300,128,0.005006396146461004,3539.257759253184,1.0
300,192,0.004652642031902899,8336.146574894587,1.0
300,256,0.004718362255812696,9217.8566087087,1.0
300,512,0.004351969289196834,10802.740538914999,1.0
