config_id,run_id,status,test_rmse,val_loss,training_time,iterations,stopping_condition,width_NODE,depth_NODE,normalize,dropout,batch_size,learning_rate,solver,weight_decay,dt0,rtol,atol
0,0,success,0.0055836551336152,3.2562756456206456e-05,646.4896328449249,5151,val_loss_stagnation,64,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
0,1,success,0.0054173526976648,3.186730438566925e-05,456.09367179870605,4451,val_loss_stagnation,64,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
0,2,success,0.005585023667417,3.298847852002138e-05,538.1623845100403,5451,val_loss_stagnation,64,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,0,success,0.0054454224222053,3.0603487744636913e-05,949.5020668506622,2851,val_loss_stagnation,64,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,1,success,0.0050572681377801,2.68873045032809e-05,1207.614910364151,2951,val_loss_stagnation,64,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
1,2,success,0.0053262032906131,3.01814835029506e-05,1025.2185842990875,3051,val_loss_stagnation,64,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
2,0,success,0.0054293881582896,3.1653271412291184e-05,602.699606180191,3201,val_loss_stagnation,128,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
2,1,success,0.0051881555511538,2.832866629432685e-05,807.4579224586487,3951,val_loss_stagnation,128,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
2,2,success,0.0055172487476944,3.1741781663986345e-05,860.6939206123352,4151,val_loss_stagnation,128,1,True,0.1,32,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
3,0,success,0.0053467276110077,3.046304529649386e-05,3098.7119822502136,2901,val_loss_stagnation,192,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
3,1,success,0.0048669887744224,2.408525932524489e-05,4856.112691402435,4851,val_loss_stagnation,192,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
3,2,success,0.0053245229297293,2.947867849462696e-05,2470.067693710327,2351,val_loss_stagnation,192,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
4,0,success,0.005242976913752,2.837765182585641e-05,7987.521130800247,2751,val_loss_stagnation,512,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
4,1,success,0.005151286339346,2.847976711166394e-05,2889.3892500400543,1751,val_loss_stagnation,512,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
4,2,success,0.0053450085825132,3.00800977255366e-05,5958.774440288544,1951,val_loss_stagnation,512,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
5,0,success,0.0053114774493866,3.0509177392073164e-05,1127.0579183101654,2851,val_loss_stagnation,192,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
5,1,success,0.0051649216631986,2.728102510199718e-05,1006.7643160820008,3001,val_loss_stagnation,192,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
5,2,success,0.0053529671533229,2.9974128390000567e-05,1226.304033756256,3051,val_loss_stagnation,192,1,True,0.1,64,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
6,0,success,0.0053875304212798,3.064402201512178e-05,1304.694982290268,2401,val_loss_stagnation,128,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
6,1,success,0.0051335128980865,2.7580410565231e-05,2616.422316074372,3001,val_loss_stagnation,128,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
6,2,success,0.005377312879783,2.987330829135989e-05,3142.341730117798,2701,val_loss_stagnation,128,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
7,0,success,0.005172390215583,2.8977264183148912e-05,3651.056892633438,1851,val_loss_stagnation,256,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
7,1,success,0.0044582298698583,2.1268528879790647e-05,9787.71539092064,5451,val_loss_stagnation,256,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
7,2,success,0.0051998699309853,2.861896497927706e-05,3759.344825029373,1851,val_loss_stagnation,256,1,True,0.1,192,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
8,0,success,0.0054776297001549,3.0750469079893406e-05,1724.703228473663,3251,val_loss_stagnation,64,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
8,1,success,0.0051675250735498,2.762197965435749e-05,1865.4196093082428,3501,val_loss_stagnation,64,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
8,2,success,0.0054152293484517,3.075901808036125e-05,1801.6668140888207,3501,val_loss_stagnation,64,1,True,0.1,256,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
9,0,success,0.0053583273732698,3.094919221931345e-05,865.6378757953644,2751,val_loss_stagnation,512,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
9,1,success,0.0054035150520152,3.1674351526225285e-05,749.1612405776978,2351,val_loss_stagnation,512,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
9,2,success,0.005380561010637,3.075215395462367e-05,914.689954519272,2901,val_loss_stagnation,512,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
10,0,success,0.0042243995972715,1.952921440851615e-05,10803.087896585464,3445,timeout,512,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
10,1,success,0.0044462656493322,2.012316043886015e-05,10802.196741819382,3338,timeout,512,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
10,2,success,0.0043852426209866,1.8764841070755856e-05,10802.936978340147,3454,timeout,512,1,True,0.1,300,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
11,0,success,0.0054572552687259,3.227282446818268e-05,462.8858864307404,3951,val_loss_stagnation,128,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
11,1,success,0.0052769969927316,3.026387737141696e-05,594.8129389286041,4301,val_loss_stagnation,128,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
11,2,success,0.0054745613897444,3.1224148674778846e-05,721.6147208213806,5401,val_loss_stagnation,128,1,True,0.1,16,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
12,0,success,0.0053954895332688,3.0701047572435354e-05,1220.9819004535675,2301,val_loss_stagnation,128,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
12,1,success,0.0049740131728982,2.4531771462317225e-05,1824.0877707004547,4851,val_loss_stagnation,128,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
12,2,success,0.0053332080648938,2.9770990192373013e-05,1518.8119122982023,2651,val_loss_stagnation,128,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
13,0,success,0.0055413287132634,3.1839783411652794e-05,1034.1370899677277,3151,val_loss_stagnation,64,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
13,1,success,0.0051520381904885,2.761537950552095e-05,829.9447526931763,3551,val_loss_stagnation,64,1,True,0.1,128,1e-05,Tsit5,0.0,0.0001,0.00015,2e-06
