mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7971536636352539,0.007320034972028841,0.010869550704956054,0.0003858588971002008,0.9,0.1,1.0,800,3,0.05,0.0,0.8,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.8}",-0.004092426039278507,-0.004213775973767042,-0.003885245183482766,-0.003915729932487011,-0.0041321031749248505,-0.004047856060788035,0.00012689608972997707,12
1.1257311344146728,0.031014220401904193,0.016638755798339844,0.0029512726187172116,0.7,1e-05,1.0,1000,6,0.1,0.0,0.8,"{'subsample': 0.7, 'reg_lambda': 1e-05, 'reg_alpha': 1, 'n_estimators': 1000, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.8}",-0.004273820668458939,-0.0042900643311440945,-0.004064996261149645,-0.004006575793027878,-0.0042414236813783646,-0.004175376147031784,0.00011651974844331031,13
0.15826830863952637,0.007218086825502433,0.004721450805664063,0.00045062921376689353,0.6,1.0,1.0,100,4,0.2,0.0,1.0,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 1.0}",-0.004300600383430719,-0.004531588871032,-0.004223474767059088,-0.004187151789665222,-0.0043310439214110374,-0.004314771946519613,0.00012008102975511682,14
0.1938021183013916,0.017540161738448884,0.005326128005981446,0.001653098215538893,0.6,1e-05,1.0,100,3,0.05,0.0,0.8,"{'subsample': 0.6, 'reg_lambda': 1e-05, 'reg_alpha': 1, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.8}",-0.0053312089294195175,-0.005576136521995068,-0.005226061213761568,-0.005269155837595463,-0.005535590462386608,-0.005387630593031645,0.00014195136090368554,15
0.2198197841644287,0.00728517172750359,0.004669284820556641,0.0012636027209182272,0.6,0.0,1.0,100,6,0.05,0.0,0.7,"{'subsample': 0.6, 'reg_lambda': 0, 'reg_alpha': 1, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7}",-0.005525562912225723,-0.005775000900030136,-0.005425943993031979,-0.005503478460013866,-0.005752641707658768,-0.005596525594592094,0.00014072471690709635,16
0.4071338653564453,0.03482478871983623,0.010424423217773437,0.0023605743517295594,1.0,0.0,1e-05,500,6,0.1,0.1,0.7,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 1e-05, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",-0.007809203118085861,-0.008107366971671581,-0.007743246853351593,-0.007903693243861198,-0.008011209778487682,-0.007914943993091584,0.00013197069668956107,17
0.7219181537628174,0.014230479828433574,0.013702630996704102,0.005320442755995937,0.8,0.1,0.0,800,5,0.2,0.1,0.9,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.9}",-0.007856356911361217,-0.00813334807753563,-0.00774170458316803,-0.007855482399463654,-0.008184364065527916,-0.007954251207411289,0.00017294059931588005,18
0.7065668106079102,0.02566119400581902,0.011571979522705078,0.0022063084577580412,0.9,0.01,1e-05,800,3,0.1,0.1,1.0,"{'subsample': 0.9, 'reg_lambda': 0.01, 'reg_alpha': 1e-05, 'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0}",-0.00794669333845377,-0.007978716865181923,-0.007862295024096966,-0.007912756875157356,-0.008121652528643608,-0.007964422926306725,8.756630867651471e-05,19
0.20850839614868164,0.007962202217058411,0.005387210845947265,0.0012131093952646218,0.9,0.0,0.0,200,10,0.2,0.1,0.8,"{'subsample': 0.9, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.8}",-0.007931629195809364,-0.008209002204239368,-0.0077806925401091576,-0.008017189800739288,-0.007991649210453033,-0.007986032590270042,0.00013845001442329573,20
0.7073463916778564,0.05835690001257436,0.012351417541503906,0.003949189259719934,1.0,1.0,0.01,800,8,0.05,0.1,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0.01, 'n_estimators': 800, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}",-0.007996324449777603,-0.008133813738822937,-0.007822454907000065,-0.007921583950519562,-0.00812492799013853,-0.00799982100725174,0.0001193296323297092,21
